NUMS	NUMT	MFLOPS	(VOLUME)
1000	1	27.348	(14.0625)
2000	1	15.3394	(14.0625)
4000	1	16.4426	(14.0625)
8000	1	26.7307	(14.0625)
16000	1	34.6611	(14.0625)
32000	1	35.9842	(14.0625)
46340	1	36.1575	(14.0625)
1000	2	27.2805	(14.0625)
2000	2	27.1736	(14.0625)
4000	2	28.2049	(14.0625)
8000	2	40.514	(14.0625)
16000	2	61.7361	(14.0625)
32000	2	70.8882	(14.0625)
46340	2	71.9835	(14.0625)
1000	4	54.0369	(14.0625)
2000	4	54.5366	(14.0625)
4000	4	54.4053	(14.0625)
8000	4	63.1558	(14.0625)
16000	4	104.913	(14.0625)
32000	4	141.032	(14.0625)
46340	4	139.096	(14.0625)
1000	8	106.169	(14.0625)
2000	8	108.383	(14.0625)
4000	8	108.414	(14.0625)
8000	8	108.71	(14.0625)
16000	8	162.863	(14.0625)
32000	8	241.474	(14.0625)
46340	8	255.917	(14.0625)
1000	16	200.432	(14.0625)
2000	16	213.185	(14.0625)
4000	16	216.503	(14.0625)
8000	16	217.506	(14.0625)
16000	16	269.857	(14.0625)
32000	16	443.127	(14.0625)
46340	16	465.669	(14.0625)
1000	32	32.9582	(14.0625)
2000	32	118.381	(14.0625)
4000	32	227.69	(14.0625)
8000	32	196.507	(14.0625)
16000	32	306.448	(14.0625)
32000	32	464.864	(14.0625)
46340	32	540.566	(14.0625)
1000	64	115.322	(14.0625)
2000	64	89.3885	(14.0625)
4000	64	206.907	(14.0625)
8000	64	199.832	(14.0625)
16000	64	273.347	(14.0625)
32000	64	467.361	(14.0625)
46340	64	546.25	(14.0625)
1000	128	116.727	(14.0625)
2000	128	232.334	(14.0625)
4000	128	325.444	(14.0625)
8000	128	255.573	(14.0625)
16000	128	307.467	(14.0625)
32000	128	450.909	(14.0625)
46340	128	558.274	(14.0625)
