NUMS	NUMT	MFLOPS	(VOLUME)
1000	1	27.3386	(14.0625)
2000	1	17.0914	(14.0625)
4000	1	16.1641	(14.0625)
8000	1	26.7361	(14.0625)
16000	1	35.7582	(14.0625)
32000	1	36.2396	(14.0625)
46340	1	36.1036	(14.0625)
1000	2	27.1979	(14.0625)
2000	2	27.1839	(14.0625)
4000	2	27.1561	(14.0625)
8000	2	40.2761	(14.0625)
16000	2	64.3686	(14.0625)
32000	2	70.1583	(14.0625)
46340	2	71.846	(14.0625)
1000	4	54.0475	(14.0625)
2000	4	54.2459	(14.0625)
4000	4	54.301	(14.0625)
8000	4	60.7029	(14.0625)
16000	4	93.4551	(14.0625)
32000	4	138.25	(14.0625)
46340	4	139.363	(14.0625)
1000	8	99.8361	(14.0625)
2000	8	108.252	(14.0625)
4000	8	108.649	(14.0625)
8000	8	117.788	(14.0625)
16000	8	164.404	(14.0625)
32000	8	245.904	(14.0625)
46340	8	256.052	(14.0625)
1000	16	199.345	(14.0625)
2000	16	207.052	(14.0625)
4000	16	216.074	(14.0625)
8000	16	217.53	(14.0625)
16000	16	269.971	(14.0625)
32000	16	441.919	(14.0625)
46340	16	471.321	(14.0625)
1000	32	32.9632	(14.0625)
2000	32	116.611	(14.0625)
4000	32	229.976	(14.0625)
8000	32	332.689	(14.0625)
16000	32	398.685	(14.0625)
32000	32	527.82	(14.0625)
46340	32	490.545	(14.0625)
1000	64	90.6705	(14.0625)
2000	64	99.0834	(14.0625)
4000	64	176.563	(14.0625)
8000	64	189.468	(14.0625)
16000	64	262.411	(14.0625)
32000	64	461.75	(14.0625)
46340	64	590.701	(14.0625)
1000	128	108.913	(14.0625)
2000	128	135.051	(14.0625)
4000	128	205.583	(14.0625)
8000	128	230.955	(14.0625)
16000	128	287.37	(14.0625)
32000	128	467.296	(14.0625)
46340	128	565.344	(14.0625)
