NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
32768         1           32768            1.618
32768         2           16384            1.583
32768         4           8192             1.554
32768         8           4096             1.531
32768         32          1024             1.515
32768         64          512              1.533
32768         128         256              1.600
32768         256         128              1.473
32768         512         64               1.490
32768         1024        32               1.502
