NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
8388608       1           8388608          34.174
8388608       2           4194304          34.793
8388608       4           2097152          34.725
8388608       8           1048576          34.468
8388608       32          262144           33.738
8388608       64          131072           33.753
8388608       128         65536            33.734
8388608       256         32768            34.502
8388608       512         16384            34.111
8388608       1024        8192             34.007
