NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          2           512              0.047 
2048          2           1024             0.097 
4096          2           2048             0.187 
8192          2           4096             0.382 
16384         2           8192             0.766 
32768         2           16384            1.537 
65536         2           32768            0.383 
131072        2           65536            0.805 
262144        2           131072           1.627 
524288        2           262144           3.333 
1048576       2           524288           5.879 
2097152       2           1048576          8.873 
4194304       2           2097152          19.512
8388608       2           4194304          35.036
