NUM_ELEMENTS  LOCAL_SIZE  NUM_WORK_GROUPS  GMPS
1024          128         8                0.047 
2048          128         16               0.097 
4096          128         32               0.187 
8192          128         64               0.379 
16384         128         128              0.405 
32768         128         256              1.550 
65536         128         512              0.351 
131072        128         1024             0.808 
262144        128         2048             1.711 
524288        128         4096             3.324 
1048576       128         8192             5.767 
2097152       128         16384            11.015
4194304       128         32768            19.208
8388608       128         65536            33.155
